Search_Term,Word,n=1,n=3,n=5,n=10,n=15,n=20,n=25,n-50,wordOccurrence,,,,,,,,
design,process,506,42,35,37,45,45,32,34,2128,,,,,,,,
design,education,306,27,35,19,30,28,26,19,978,,,,,,,,
design,thinking,292,19,18,22,20,24,12,19,940,,,,,,,,
design,studies,204,48,22,25,22,16,23,16,784,,,,,,,,
design,practice,166,46,18,19,17,23,34,23,986,,,,,,,,
design,processes,103,15,10,14,11,11,13,15,625,,,,,,,,
design,methods,98,17,27,13,13,13,13,20,800,,,,,,,,
design,dna,92,4,4,6,0,6,3,0,123,,,,,,,,
design,issues,91,22,13,15,14,14,4,8,506,,,,,,,,
design,studio,83,4,8,8,11,7,9,9,357,,,,,,,,
design,management,74,18,7,15,11,14,18,16,568,,,,,,,,
design,practices,71,15,9,8,10,6,6,9,610,,,,,,,,
design,teams,71,3,8,6,7,8,2,7,342,,,,,,,,
design,innovation,70,66,23,30,22,27,31,25,872,,,,,,,,
design,approach,69,16,20,15,22,13,16,10,973,,,,,,,,
design,solutions,68,7,6,1,12,8,9,6,402,,,,,,,,
design,activities,67,10,7,9,10,3,8,4,660,,,,,,,,
design,students,61,27,18,21,22,21,29,18,1252,,,,,,,,
design,approaches,61,8,12,5,14,14,10,10,512,,,,,,,,
design,projects,60,9,10,6,16,14,14,8,540,,,,,,,,
design,concepts,60,4,19,13,13,13,10,9,445,,,,,,,,
design,project,56,13,17,11,20,18,19,16,1044,,,,,,,,
design,concept,56,7,8,5,4,13,5,8,459,,,,,,,,
design,researchers,54,15,4,1,1,5,5,4,352,,,,,,,,
design,tools,53,18,8,17,9,16,16,9,617,,,,,,,,
design,team,53,2,19,4,11,13,7,13,649,,,,,,,,
design,sprint,53,0,1,2,0,1,4,4,60,,,,,,,,
design,principles,52,4,5,5,10,7,5,7,340,,,,,,,,
design,sprints,52,1,2,0,0,1,1,0,52,,,,,,,,
design,practitioners,46,12,8,5,5,3,5,3,208,,,,,,,,
design,outcomes,45,5,4,11,4,3,8,4,426,,,,,,,,
design,heuristics,44,1,1,1,3,1,3,0,69,,,,,,,,
design,space,43,11,8,8,3,8,7,8,620,,,,,,,,
design,activity,42,5,7,2,5,5,4,6,433,,,,,,,,
design,history,41,5,5,4,6,5,4,4,234,,,,,,,,
design,strategy,38,11,5,8,9,5,7,7,312,,,,,,,,
design,theory,34,10,16,12,7,6,7,14,529,,,,,,,,
design,disciplines,33,2,2,3,8,5,4,3,249,,,,,,,,
design,work,32,17,9,19,18,20,12,14,1321,,,,,,,,
design,considerations,32,5,1,5,0,1,3,4,149,,,,,,,,
design,strategies,32,3,5,9,5,7,5,7,356,,,,,,,,
design,ideas,32,1,4,3,7,12,8,4,565,,,,,,,,
design,school,31,13,6,8,4,12,5,16,434,,,,,,,,
design,collaboration,31,7,6,7,13,12,11,7,482,,,,,,,,
design,problem,31,6,5,6,10,8,10,12,513,,,,,,,,
design,proposals,31,1,1,2,0,1,1,1,59,,,,,,,,
design,mission,30,2,1,3,2,1,2,0,56,,,,,,,,
design,perspective,29,7,6,2,3,7,11,7,430,,,,,,,,
design,science,27,8,8,10,6,17,9,12,469,,,,,,,,
design,philosophy,27,4,4,2,5,4,5,7,164,,,,,,,,
design,should,27,1,4,8,5,3,3,14,551,,,,,,,,
design,by,26,58,47,52,52,47,52,44,4140,,,,,,,,
design,framework,26,15,10,8,16,12,14,14,606,,,,,,,,
design,engineering,26,8,14,12,5,10,10,5,279,,,,,,,,
design,educators,26,4,0,1,4,1,2,2,60,,,,,,,,
design,an,25,84,52,55,35,52,52,43,3825,,,,,,,,
design,&,25,61,76,123,90,101,83,80,4805,,,,,,,,
design,was,25,25,31,19,25,29,26,43,2727,,,,,,,,
design,development,25,11,28,22,26,20,18,16,1150,,,,,,,,
design,field,25,6,11,5,3,15,9,7,443,,,,,,,,
design,decisions,25,3,2,1,3,2,2,5,149,,,,,,,,
design,s20119,24,28,52,62),0,1,0,0,0,,,,,,,,
design,lab,24,9,1,4,1,4,4,4,167,,,,,,,,
design,student,24,4,1,8,8,12,7,5,417,,,,,,,,
design,journals,24,0,1,1,2,1,4,2,46,,,,,,,,
design,are,23,51,49,39,36,42,40,34,3998,,,,,,,,
design,we,22,35,43,30,38,32,45,30,3204,,,,,,,,
design,industry,22,7,6,16,7,13,10,8,391,,,,,,,,
design,opportunities,22,5,8,5,3,3,6,4,351,,,,,,,,
design,community,22,4,2,7,6,6,6,6,424,,,,,,,,
design,proceedings,21,17,16,11,7,12,16,12,508,,,,,,,,
design,context,21,11,9,6,10,8,15,12,715,,,,,,,,
design,program,21,5,7,5,3,6,3,3,219,,,,,,,,
design,profession,21,5,1,2,2,5,3,1,58,,,,,,,,
design,collaborations,21,4,0,2,1,2,2,4,100,,,,,,,,
design,museum,21,3,1,0,4,1,2,5,152,,,,,,,,
design,discipline,21,2,4,1,3,3,2,6,89,,,,,,,,
design,task,21,2,0,1,4,0,0,2,170,,,,,,,,
design,researcher,21,1,2,6,3,5,6,5,167,,,,,,,,
design,learning,20,26,15,14,19,26,20,17,1163,,,,,,,,
design,professionals,20,5,4,3,0,5,3,5,163,,,,,,,,
design,council,20,3,5,2,1,3,6,2,120,,,,,,,,
design,prototyping,20,1,5,6,5,2,0,6,284,,,,,,,,
design,fiction,20,0,1,0,1,2,1,2,60,,,,,,,,
design,society,19,32,21,17,11,13,9,8,509,,,,,,,,
design,which,19,19,10,26,19,25,34,17,1893,,,,,,,,
design,department,19,6,3,7,5,3,8,9,157,,,,,,,,
design,guidance,19,1,4,1,0,4,2,2,94,,,,,,,,
design,museums,19,1,0,2,3,5,5,2,91,,,,,,,,
design,specifications,19,0,2,0,0,0,0,1,30,,,,,,,,
design,schools,19,0,1,0,2,0,0,0,80,,,,,,,,
design,it,18,36,35,41,24,34,24,38,3293,,,,,,,,
design,through,18,20,28,27,34,30,33,24,2009,,,,,,,,
design,support,18,15,8,9,11,14,9,8,605,,,,,,,,
design,knowledge,18,12,11,23,8,18,21,8,1099,,,,,,,,
