Search_Term,Word,n=1,n=3,n=5,n=10,n=15,n=20,n=25,n-50,wordOccurrence
design,space,99,0,2,3,1,1,1,0,544
design,tool,51,2,2,3,1,2,3,4,644
design,process,49,0,2,4,3,2,1,3,603
design,goals,27,0,1,0,1,2,0,0,77
design,guidelines,24,3,1,0,1,1,0,0,78
design,tools,24,2,0,3,6,3,4,1,670
design,parameters,22,2,1,0,1,2,2,1,416
design,drawing,20,0,0,0,1,1,2,1,189
design,considerations,16,1,0,0,0,0,0,0,44
design,implications,16,0,0,2,1,0,0,0,63
design,vibrotactile,12,4,2,4,4,5,1,3,231
design,principles,12,0,2,0,0,0,0,0,67
design,survey,12,0,0,0,2,0,1,0,206
design,system,9,10,9,9,7,7,2,9,1741
design,goal,9,1,3,0,0,0,0,0,192
design,applications,8,3,1,1,0,4,0,2,720
design,patterns,8,2,1,0,0,1,1,0,229
design,choices,8,0,0,0,0,0,0,0,37
design,elements,7,0,0,1,0,0,1,4,503
design,principle,6,0,1,1,0,0,0,0,72
design,study,5,13,7,10,7,5,6,4,1653
design,virtual,5,3,6,6,3,5,1,7,1539
design,based,5,2,1,3,1,1,5,1,910
design,material,5,1,3,0,2,1,0,1,422
design,session,5,0,0,1,0,2,1,0,168
design,heuristics,5,0,0,1,0,1,0,1,60
design,drawings,5,0,0,0,0,1,1,0,21
design,practice,5,0,0,0,0,0,0,2,153
design,iteration,5,0,0,0,0,0,0,0,33
design,decisions,5,0,0,0,0,0,0,0,41
design,criteria,5,0,0,0,0,0,0,0,48
design,example,4,8,2,0,1,2,2,3,1145
design,implementation,4,2,2,0,1,0,1,1,267
design,methods,4,2,1,1,1,2,1,0,536
design,approach,4,2,0,1,3,0,0,2,829
design,features,4,1,0,2,1,0,0,1,419
design,files,4,1,0,0,0,2,0,0,220
design,prototyping,4,0,2,2,1,0,3,1,212
design,intent,4,0,2,0,1,0,0,0,106
design,requirements,4,0,1,2,0,1,0,0,141
design,challenge,4,0,1,0,1,0,0,1,149
design,guideline,4,0,1,0,0,0,0,0,14
design,automation,4,0,0,1,0,0,1,0,142
design,thinking,4,0,0,0,1,0,0,1,26
design,morgan,4,0,0,0,0,0,0,0,22
design,users,3,6,7,5,6,7,5,2,2391
design,work,3,5,3,4,2,3,6,4,1375
design,techniques,3,2,4,1,2,1,0,1,462
design,insights,3,2,2,0,0,1,0,0,79
design,tactile,3,2,2,0,0,0,1,3,562
design,figure,3,2,1,2,2,1,1,0,1127
design,examples,3,2,1,0,1,0,1,1,354
design,allows,3,2,0,1,0,1,2,1,436
design,each,3,1,3,2,1,0,2,4,2407
design,provided,3,1,1,0,0,0,0,2,346
design,had,3,1,0,2,2,2,1,0,523
design,spaces,3,1,0,0,1,0,0,0,66
design,time,3,1,0,0,0,1,1,0,1355
design,education,3,1,0,0,0,0,0,0,121
design,acm,3,0,9,7,6,4,3,6,2003
design,(figure,3,0,4,2,2,1,3,5,897
design,properties,3,0,2,2,1,1,1,0,306
design,could,3,0,2,1,2,1,2,1,1070
design,recommendations,3,0,1,1,1,0,2,0,368
design,opportunities,3,0,1,1,1,0,0,1,72
design,cases,3,0,1,0,0,1,1,1,277
design,&,3,0,1,0,0,1,0,1,344
design,cannot,3,0,0,2,1,0,0,0,164
design,choice,3,0,0,1,0,0,0,0,61
design,aspects,3,0,0,0,1,0,1,1,117
design,decision,3,0,0,0,0,1,0,0,72
design,ideas,3,0,0,0,0,0,1,0,112
design,lab,3,0,0,0,0,0,1,0,93
design,innovation,3,0,0,0,0,0,0,0,29
design,semantics,3,0,0,0,0,0,0,0,38
design,right,3,0,0,0,0,0,0,0,369
design,processes,3,0,0,0,0,0,0,0,66
design,cut,3,0,0,0,0,0,0,0,82
design,lifecycle,3,0,0,0,0,0,0,0,3
design,3d,2,15,5,8,3,4,2,1,1580
design,user,2,12,10,7,15,3,9,8,3662
design,have,2,5,4,3,3,2,1,3,1661
design,research,2,5,1,4,1,3,3,7,774
design,interactive,2,3,4,4,2,5,3,2,967
design,these,2,3,1,5,2,5,6,1,1906
design,enables,2,3,1,2,1,1,1,0,222
design,pipeline,2,3,0,2,1,0,0,2,142
design,input,2,3,0,1,1,3,0,1,1263
design,all,2,2,3,4,4,0,2,0,1807
design,one,2,2,3,2,1,3,4,2,1643
design,at,2,2,2,1,4,1,3,0,2052
design,haptic,2,2,1,2,2,4,2,4,949
design,challenges,2,2,1,1,1,0,0,0,194
design,knowledge,2,2,1,0,2,0,1,0,279
design,higher,2,2,1,0,1,0,0,1,305
design,soundsride,2,2,0,2,0,0,0,2,70
design,details,2,2,0,1,0,0,2,1,228
design,-,2,2,0,0,1,0,0,2,269
design,from,2,1,10,4,3,5,5,8,4232
design,experience,2,1,3,2,0,1,3,2,572
design,tasks,2,1,2,2,5,1,0,0,1013
design,constraints,2,1,2,0,1,1,0,0,331
design,through,2,1,2,0,0,3,4,1,1016
design,method,2,1,1,2,1,1,1,0,579
design,alternatives,2,1,1,1,0,0,0,1,53
design,showing,2,1,1,0,0,1,0,0,162
design,dimensions,2,1,0,1,0,1,1,0,99
design,employed,2,1,0,0,1,0,0,0,85
design,sketching,2,1,0,0,0,0,0,2,136
design,according,2,1,0,0,0,0,0,0,141
design,task,2,0,2,1,2,2,3,3,1308
design,what,2,0,2,0,1,1,1,1,481
